%Wavelgth nm	Power W*m-2*nm-1
   2.8000000e+02   4.7309000e-23
   2.8070000e+02   1.2307000e-21
   2.8140000e+02   1.5662000e-19
   2.8210000e+02   1.1946000e-18
   2.8280000e+02   1.8452000e-17
   2.8350000e+02   3.5360000e-17
   2.8420000e+02   7.2670000e-16
   2.8490000e+02   8.0142000e-15
   2.8560000e+02   4.2613000e-14
   2.8630000e+02   8.3823000e-13
   2.8700000e+02   2.7367000e-12
   2.8770000e+02   1.0903000e-11
   2.8840000e+02   1.7162000e-10
   2.8910000e+02   5.6265000e-10
   2.8980000e+02   6.0168000e-09
   2.9050000e+02   1.3783000e-08
   2.9120000e+02   3.5052000e-08
   2.9190000e+02   2.6830000e-07
   2.9260000e+02   4.2685000e-07
   2.9330000e+02   2.2707000e-06
   2.9400000e+02   4.1744000e-06
   2.9470000e+02   6.5911000e-06
   2.9540000e+02   2.7826000e-05
   2.9610000e+02   4.7904000e-05
   2.9680000e+02   9.6800000e-05
   2.9750000e+02   1.8608000e-04
   2.9820000e+02   2.8988000e-04
   2.9890000e+02   4.9211000e-04
   2.9960000e+02   8.6068000e-04
   3.0030000e+02   1.2450000e-03
   3.0100000e+02   1.9300000e-03
   3.0170000e+02   2.6914000e-03
   3.0240000e+02   4.2840000e-03
   3.0310000e+02   7.0945000e-03
   3.0380000e+02   9.4701000e-03
   3.0450000e+02   1.1953000e-02
   3.0520000e+02   1.6463000e-02
   3.0590000e+02   1.8577000e-02
   3.0660000e+02   2.1108000e-02
   3.0730000e+02   3.5635000e-02
   3.0800000e+02   3.7837000e-02
   3.0870000e+02   4.1430000e-02
   3.0940000e+02   4.3306000e-02
   3.1010000e+02   5.0939000e-02
   3.1080000e+02   8.2922000e-02
   3.1150000e+02   8.4080000e-02
   3.1220000e+02   9.3376000e-02
   3.1290000e+02   1.0733000e-01
   3.1360000e+02   1.0757000e-01
   3.1430000e+02   1.3060000e-01
   3.1500000e+02   1.3625000e-01
   3.1570000e+02   1.1838000e-01
   3.1640000e+02   1.5036000e-01
   3.1710000e+02   1.7158000e-01
   3.1780000e+02   1.7594000e-01
   3.1850000e+02   1.8591000e-01
   3.1920000e+02   2.0470000e-01
